[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\treinamentos\delete.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\treinamentos\detail.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\treinamentos\form.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\treinamentos\inscrever.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\treinamentos\inscricoes.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\salarios\beneficios\delete.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\salarios\beneficios\form.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\salarios\descontos\delete.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\salarios\descontos\form.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\avaliacoes\criterios\delete.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\rh\avaliacoes\criterios\form.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\empresa\admin\change_form.html
[2025-10-23 12:26:08] [INFO] Pulando (não é lista): templates\empresa\admin\edit_inline\sucursal_inline.html
[2025-10-23 12:26:08] [INFO] Templates para migrar filtros: 43
[2025-10-23 12:26:08] [INFO] Sem filtros para migrar: templates\rh\main.html
[2025-10-23 12:26:08] [INFO] Sem filtros para migrar: templates\stock\main.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\categorias\main.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\fornecedores\main.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\inventario\ajustes_list.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\inventario\list.html
[2025-10-23 12:26:08] [INFO] Sem filtros para migrar: templates\stock\logistica\main.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\materiais\main.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\movimentos\main.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\notificacoes\list.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\produtos\main.html
[2025-10-23 12:26:08] [INFO] Sem filtros para migrar: templates\stock\relatorios\main.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\requisicoes\list.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\requisicoes\ordens_compra_list.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\transferencias\list.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\logistica\checklist\list.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\logistica\coletas\list.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\logistica\operacoes\list.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\logistica\pod\etiquetas_list.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\logistica\pod\guias_list.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\logistica\pod\provas_list.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\logistica\rastreamento\list.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\logistica\transferencias\list.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\logistica\transportadoras\list.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\logistica\veiculos\list.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\stock\logistica\viaturas\list.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\rh\avaliacoes\main.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\rh\cargos\main.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\rh\departamentos\main.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\rh\feriados\main.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\rh\folha_salarial\main.html
